3,587.693,0,0,-3170,0,441,0.692302,22.8157,53,1,-0.570633
3,587.694,1,0,-1519,0,131,0.624965,10.1358,4,1,0.370096
3,587.694,2,2,-480,0,350,0.435588,10.4111,7,1,-0.545546
3,587.694,3,0,1906,0,751,0.52778,22.8807,0,1,0.787521
3,587.703,0,0,-3167,0,401,0.692334,21.1597,53,1,-0.570633
3,587.703,1,0,-1516,0,125,0.624997,9.8916,4,1,0.370096
3,587.703,2,2,-480,0,350,0.435588,10.4111,7,1,-0.545546
3,587.703,3,0,1909,0,698,0.527812,20.7448,0,1,0.787521
3,587.713,0,0,-3163,0,357,0.692378,19.3381,53,1,-0.570633
3,587.713,1,0,-1512,0,120,0.625041,9.6881,4,1,0.370096
3,587.713,2,2,-480,0,346,0.435588,10.2527,7,1,-0.545546
3,587.713,3,0,1913,0,654,0.527855,18.9716,0,1,0.787521
3,587.723,0,0,-3160,0,345,0.69241,18.8413,53,1,-0.570633
3,587.723,1,0,-1509,0,115,0.625073,9.4846,4,1,0.370096
3,587.723,2,2,-480,0,346,0.435588,10.2527,7,1,-0.545546
3,587.723,3,0,1916,0,627,0.527888,17.8835,0,1,0.787521
3,587.733,0,0,-3158,0,345,0.692432,18.8413,53,1,-0.570633
3,587.734,1,0,-1506,0,116,0.625105,9.5253,4,1,0.370096
3,587.734,2,2,-480,0,325,0.435588,9.4211,7,1,-0.545546
3,587.734,3,0,1919,0,649,0.52792,18.7701,0,1,0.787521
3,587.743,0,0,-3154,0,335,0.692475,18.4273,53,1,-0.570633
3,587.743,1,0,-1503,0,115,0.625138,9.4846,4,1,0.370096
3,587.743,2,2,-487,0,319,0.435512,9.1835,7,1,-0.545546
3,587.743,3,0,1922,0,670,0.527952,19.6164,0,1,0.787521
3,587.753,0,0,-3151,0,340,0.692507,18.6343,53,1,-0.570633
3,587.753,1,0,-1500,0,116,0.62517,9.5253,4,1,0.370096
3,587.753,2,2,-491,0,297,0.435469,8.3123,7,1,-0.545546
3,587.753,3,0,1925,0,665,0.527985,19.4149,0,1,0.787521
3,587.763,0,0,-3148,0,338,0.69254,18.5515,53,1,-0.570633
3,587.763,1,0,-1497,0,116,0.625203,9.5253,4,1,0.370096
3,587.763,2,2,-501,0,312,0.435361,8.9063,7,1,-0.545546
3,587.763,3,0,1928,0,658,0.528017,19.1328,0,1,0.787521
3,587.773,0,0,-3145,0,337,0.692572,18.5101,53,1,-0.570633
3,587.773,1,0,-1494,0,116,0.625235,9.5253,4,1,0.370096
3,587.773,2,2,-508,0,305,0.435285,8.6291,7,1,-0.545546
3,587.773,3,0,1931,0,659,0.52805,19.1731,0,1,0.787521
3,587.783,0,0,-3142,0,338,0.692604,18.5515,53,1,-0.570633
3,587.783,1,0,-1491,0,115,0.625267,9.4846,4,1,0.370096
3,587.783,2,2,-511,0,304,0.435253,8.5895,7,1,-0.545546
